Parameter;Sigma Tunel;Falošné Poplachy (FP);Doba Detekcie [ms]
avg;±0.5σ;991;100.0
avg;±1σ;605;100.0
avg;±1.5σ;343;100.0
avg;±2σ;237;100.0
std;±0.5σ;1143;100.0
std;±1σ;658;100.0
std;±1.5σ;460;613.0
std;±2σ;225;1032.0
cv;±0.5σ;1180;592.0
cv;±1σ;803;595.0
cv;±1.5σ;436;613.0
cv;±2σ;357;939.0
skewness;±0.5σ;1239;109.0
skewness;±1σ;797;232.0
skewness;±1.5σ;427;598.0
skewness;±2σ;354;1005.0
q;±0.5σ;1102;100.0
q;±1σ;496;100.0
q;±1.5σ;351;100.0
q;±2σ;223;100.0
