Parameter;Sigma Tunel;Falošné Poplachy (FP);Doba Detekcie [ms]
avg;±1σ;1976;500.0
avg;±2σ;658;992.0
avg;±3σ;228;996.0
std;±1σ;1804;500.0
std;±2σ;686;1189.0
std;±3σ;265;1405.0
cv;±1σ;2014;511.0
cv;±2σ;736;994.0
cv;±3σ;304;1405.0
skewness;±1σ;1919;594.0
skewness;±2σ;770;1014.0
skewness;±3σ;330;1531.0
q;±1σ;1899;500.0
q;±2σ;588;1012.0
q;±3σ;216;1013.0
